Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-20 09:30:00-04:00,5646.919921875,5646.919921875,5633.47998046875,5634.2900390625,0,0.0,0.0
2025-03-20 09:31:00-04:00,5634.740234375,5638.14013671875,5632.330078125,5637.830078125,9229421,0.0,0.0
2025-03-20 09:32:00-04:00,5637.85009765625,5647.0400390625,5637.2998046875,5646.3798828125,10101187,0.0,0.0
2025-03-20 09:33:00-04:00,5646.68017578125,5652.77001953125,5646.27978515625,5651.080078125,11766014,0.0,0.0
2025-03-20 09:34:00-04:00,5651.240234375,5653.47998046875,5650.259765625,5651.509765625,8623269,0.0,0.0
2025-03-20 09:35:00-04:00,5651.509765625,5654.25,5650.27978515625,5653.58984375,9169002,0.0,0.0
2025-03-20 09:36:00-04:00,5653.419921875,5653.419921875,5650.93994140625,5653.3701171875,8841238,0.0,0.0
2025-03-20 09:37:00-04:00,5653.1201171875,5654.830078125,5648.509765625,5648.509765625,9492553,0.0,0.0
2025-03-20 09:38:00-04:00,5648.43017578125,5652.27978515625,5648.43017578125,5650.22021484375,7745146,0.0,0.0
2025-03-20 09:39:00-04:00,5650.419921875,5652.93994140625,5650.259765625,5652.93994140625,8060880,0.0,0.0
2025-03-20 09:40:00-04:00,5652.72021484375,5653.10986328125,5650.43994140625,5650.77978515625,8237885,0.0,0.0
2025-03-20 09:41:00-04:00,5650.64013671875,5653.8798828125,5649.2900390625,5653.8798828125,7210739,0.0,0.0
2025-03-20 09:42:00-04:00,5653.9501953125,5655.4599609375,5652.009765625,5655.27001953125,7156462,0.0,0.0
2025-03-20 09:43:00-04:00,5655.2998046875,5660.31005859375,5655.2998046875,5658.60986328125,7033080,0.0,0.0
2025-03-20 09:44:00-04:00,5658.18994140625,5658.18994140625,5653.9599609375,5657.52978515625,6322975,0.0,0.0
2025-03-20 09:45:00-04:00,5657.669921875,5661.39013671875,5657.669921875,5661.39013671875,8893557,0.0,0.0
2025-03-20 09:46:00-04:00,5661.39013671875,5662.740234375,5659.77001953125,5660.85986328125,7125861,0.0,0.0
2025-03-20 09:47:00-04:00,5661.009765625,5663.43994140625,5659.81982421875,5659.89013671875,6593741,0.0,0.0
2025-03-20 09:48:00-04:00,5660.0498046875,5660.0498046875,5658.0,5658.759765625,5748782,0.0,0.0
2025-03-20 09:49:00-04:00,5658.5,5662.080078125,5658.5,5661.740234375,6182115,0.0,0.0
2025-03-20 09:50:00-04:00,5661.47998046875,5663.669921875,5660.0498046875,5663.0498046875,6646019,0.0,0.0
2025-03-20 09:51:00-04:00,5662.5,5663.75,5661.5,5663.0498046875,6257681,0.0,0.0
2025-03-20 09:52:00-04:00,5662.919921875,5664.41015625,5661.740234375,5663.8798828125,6534800,0.0,0.0
2025-03-20 09:53:00-04:00,5663.85986328125,5667.759765625,5663.85986328125,5667.240234375,6034480,0.0,0.0
2025-03-20 09:54:00-04:00,5666.9599609375,5667.75,5665.9501953125,5666.39990234375,5150312,0.0,0.0
2025-03-20 09:55:00-04:00,5666.669921875,5666.669921875,5664.2099609375,5664.7900390625,6211468,0.0,0.0
2025-03-20 09:56:00-04:00,5664.66015625,5668.009765625,5664.66015625,5665.66015625,6612178,0.0,0.0
2025-03-20 09:57:00-04:00,5665.830078125,5669.1201171875,5665.830078125,5668.47021484375,5280413,0.0,0.0
2025-03-20 09:58:00-04:00,5668.41015625,5671.22998046875,5668.41015625,5671.2001953125,4789456,0.0,0.0
2025-03-20 09:59:00-04:00,5671.330078125,5674.27001953125,5671.330078125,5674.2099609375,7494918,0.0,0.0
2025-03-20 10:00:00-04:00,5672.89013671875,5682.2900390625,5672.35986328125,5682.2900390625,10622496,0.0,0.0
2025-03-20 10:01:00-04:00,5682.33984375,5683.85986328125,5682.080078125,5682.080078125,8455101,0.0,0.0
2025-03-20 10:02:00-04:00,5682.02001953125,5687.56982421875,5682.02001953125,5686.7900390625,7821798,0.0,0.0
2025-03-20 10:03:00-04:00,5687.18017578125,5690.35009765625,5686.419921875,5688.91015625,8683409,0.0,0.0
2025-03-20 10:04:00-04:00,5689.0400390625,5691.68017578125,5688.169921875,5688.31982421875,8402575,0.0,0.0
2025-03-20 10:05:00-04:00,5688.1298828125,5688.4501953125,5684.4599609375,5685.02978515625,7686694,0.0,0.0
2025-03-20 10:06:00-04:00,5685.14990234375,5688.009765625,5684.89013671875,5687.759765625,6028485,0.0,0.0
2025-03-20 10:07:00-04:00,5687.81005859375,5690.490234375,5686.7900390625,5690.10986328125,5961629,0.0,0.0
